simTime,simDelta,xPos,yPos,zPos,speed,heading,steering,gas,brake,state1,state2,state3,state4,state5,state6,eulerX,eulerY,eulerZ,rpm,gear,leftBlinker,rightBlinker
22.53187,0.016666,-83.72987,104.9321,-0.5028952,27.64408,-0.04426676,6.552,0.3379801,0,10,0,0,0,0,8.1,-0.07841223,-0.2111411,-0.04426676,1214.373,3,1,1
22.54853,0.016666,-83.52393,104.9321,-0.5028847,27.63888,-0.03149387,6.3,0.3379801,0,10,0,0,0,0,8.1,-0.07874884,-0.2114716,-0.03149387,1213.96,3,1,1
22.56519,0.016666,-83.31804,104.9321,-0.5028768,27.6337,-0.01870844,6.084,0.3379801,0,10,0,0,0,0,8.1,-0.07865237,-0.2116508,-0.01870844,1213.602,3,1,1
22.58185,0.016666,-83.11218,104.9322,-0.5028716,27.62849,-0.005945242,5.904,0.3379801,0,10,0,0,0,0,8.1,-0.07810532,-0.211683,-0.005945242,1213.672,3,1,1
22.59851,0.016666,-82.90636,104.9323,-0.5028689,27.62329,0.006759671,5.76,0.2705907,0,10,0,0,0,0,8.1,-0.07711606,-0.2115718,0.006759671,1213.073,3,1,1
22.61517,0.016666,-82.70058,104.9324,-0.5028687,27.61796,0.01936961,5.688,0.2705907,0,10,0,0,0,0,8.1,-0.07571701,-0.2113385,0.01936961,1212.692,3,1,1
22.63183,0.016666,-82.49484,104.9326,-0.5028709,27.6126,0.03184966,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.07396057,-0.210996,0.03184966,1212.851,3,1,1
22.64849,0.016666,-82.28915,104.9329,-0.5028753,27.60726,0.04416769,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.07191667,-0.2105557,0.04416769,1212.397,3,1,1
22.66515,0.016666,-82.08349,104.9332,-0.5028818,27.60192,0.0562957,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06966864,-0.2100249,0.0562957,1212.327,3,1,1
22.68181,0.016666,-81.87787,104.9335,-0.5028899,27.59658,0.06820986,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06730483,-0.2094153,0.06820986,1212.221,3,1,1
22.69847,0.016666,-81.67229,104.9338,-0.5028996,27.59123,0.07989147,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06491357,-0.2087407,0.07989147,1211.751,3,1,1
22.71513,0.016666,-81.46675,104.9342,-0.5029107,27.58589,0.09132771,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06258022,-0.2080123,0.09132771,1211.756,3,1,1
22.73179,0.016666,-81.26125,104.9347,-0.5029229,27.58055,0.1025113,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.06038179,-0.2072437,0.1025113,1211.271,3,1,1
22.74845,0.016666,-81.05579,104.9352,-0.5029359,27.57523,0.1134407,5.616,0.2705907,0,10,0,0,0,0,8.1,-0.05838353,-0.2064481,0.1134407,1211.091,3,1,1
22.76511,0.016666,-80.85036,104.9357,-0.5029497,27.56987,0.1241193,5.544,0.2705907,0,10,0,0,0,0,8.1,-0.0566336,-0.2056405,0.1241193,1211.113,3,1,1
22.78177,0.016666,-80.64499,104.9362,-0.502964,27.56454,0.1345548,5.436,0.2705907,0,10,0,0,0,0,8.1,-0.05516312,-0.2048329,0.1345548,1210.625,3,1,1
22.79843,0.016666,-80.43965,104.9368,-0.5029785,27.55921,0.1447587,5.256,0.3379801,0,10,0,0,0,0,8.1,-0.05398506,-0.2040395,0.1447587,1210.431,3,1,1
22.81509,0.016666,-80.23434,104.9374,-0.502993,27.55404,0.154746,5.076,0.3379801,0,10,0,0,0,0,8.1,-0.05309794,-0.2032562,0.154746,1210.128,3,1,1
22.83175,0.016666,-80.02908,104.938,-0.5030072,27.54888,0.1645327,4.86,0.3379801,0,10,0,0,0,0,8.1,-0.05248206,-0.2024908,0.1645327,1209.896,3,1,1
22.84841,0.016666,-79.82386,104.9387,-0.5030211,27.54369,0.1741341,4.716,0.3379801,0,10,0,0,0,0,8.1,-0.05210191,-0.2017546,0.1741341,1209.875,3,1,1
22.86507,0.016666,-79.61868,104.9395,-0.5030343,27.53853,0.1835645,4.428,0.3379801,0,10,0,0,0,0,8.1,-0.05190834,-0.2010553,0.1835645,1209.606,3,1,1
22.88173,0.016666,-79.41353,104.9402,-0.5030468,27.53333,0.1928358,4.14,0.3379801,0,10,0,0,0,0,8.1,-0.05184035,-0.2004041,0.1928358,1209.481,3,1,1
22.89839,0.016666,-79.20842,104.941,-0.5030583,27.52816,0.2019567,3.816,0.2705907,0,10,0,0,0,0,8.1,-0.05183034,-0.1998069,0.2019567,1208.897,3,1,1
22.91505,0.016666,-79.00336,104.9418,-0.5030687,27.52284,0.210932,3.456,0.2705907,0,10,0,0,0,0,8.1,-0.05180577,-0.199284,0.210932,1209,3,1,1
